"location_id","location_title","location_address","location_draggable","location_infowindow_default_open","location_animation","location_latitude","location_longitude","location_city","location_state","location_country","location_postal_code","location_zoom","location_messages","location_settings","location_group_map","location_extrafields"
"1","Patapat Viaduct","Patapat Viaduct, Pagudpud, Ilocos Region, Philippines",,,"BOUNCE","18.5749751","120.89512779999995","Pagudpud","Ilocos Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:69:""https://jboy.cagumbay.com/carpe-diem-going-up-north-with-ineng-day-2/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"2","Bangui Windmills","Bangui Windmills, Bangui, Ilocos Region, Philippines",,,"BOUNCE","18.528571","120.71811000000002",,"Cordillera Administrative Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:69:""https://jboy.cagumbay.com/carpe-diem-going-up-north-with-ineng-day-3/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"3","Cape Bojeador Lighthouse,","Cape Bojeador Lighthouse, Burgos, Ilocos Region, Philippines",,,"BOUNCE","18.5121834","120.59773999999993","Burgos","Ilocos Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:69:""https://jboy.cagumbay.com/carpe-diem-going-up-north-with-ineng-day-3/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"4","Kapurpurawan Rock Formation","Kapurpurawan Rock Formation, Burgos, Ilocos Region, Philippines",,,"BOUNCE","18.538282","120.65360399999997","Burgos","Ilocos Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:69:""https://jboy.cagumbay.com/carpe-diem-going-up-north-with-ineng-day-3/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"5","Paoay Sand Dunes","Paoay Sand Dunes, Paoay, Ilocos Region, Philippines",,,"BOUNCE","18.09301","120.48472400000003","Paoay","Ilocos Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:69:""https://jboy.cagumbay.com/carpe-diem-going-up-north-with-ineng-day-3/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"6","Malacañang of the North","Malacañang of the North, Paoay, Ilocos Region, Philippines",,,"BOUNCE","18.128136","120.53992199999993","Paoay","Ilocos Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:69:""https://jboy.cagumbay.com/carpe-diem-going-up-north-with-ineng-day-3/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"7","Ferdinand Marcos Presidential Center","Batac, Ilocos Region, Philippines",,,"BOUNCE","18.0460318","120.59407770000007","Batac","Ilocos Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:69:""https://jboy.cagumbay.com/carpe-diem-going-up-north-with-ineng-day-3/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"8","Calle Crisologo","Calle Crisologo, Vigan City, Ilocos Region, Philippines",,,"BOUNCE","17.571296","120.38876500000003","Vigan City","Ilocos Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:69:""https://jboy.cagumbay.com/carpe-diem-going-up-north-with-ineng-day-3/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"9","Baluarte","Baluarte, Vigan City, Ilocos Region, Philippines",,,"BOUNCE","17.551578","120.37705699999992","Vigan City","Ilocos Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:69:""https://jboy.cagumbay.com/carpe-diem-going-up-north-with-ineng-day-3/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"10","Baguio","Baguio, Cordillera Administrative Region, Philippines",,,"BOUNCE","16.4023332","120.59600709999995","Baguio","Cordillera Administrative Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","N;","N;"
"11","Strawberry Fields","Strawberry Fields, La Trinidad, Cordillera Administrative Region, Philippines",,,"BOUNCE","16.4571627","120.58474810000007","La Trinidad","Cordillera Administrative Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","N;","N;"
"12","Coron Island","Coron Island, Coron, MIMAROPA, Philippines",,,"BOUNCE","11.9283293","120.23973360000002","Coron",,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:54:""https://jboy.cagumbay.com/4-day-millionaires-in-coron/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"13","Banana Island","Banana Island, Coron, Philippines",,,"BOUNCE","11.770858","120.12669200000005","Coron",,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:54:""https://jboy.cagumbay.com/4-day-millionaires-in-coron/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"14","Apo Island","Apo Island, Dauin, Central Visayas, Philippines",,,"BOUNCE","9.079721300000001","123.27142920000006","Dauin",,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:56:""https://jboy.cagumbay.com/swimming-with-the-sea-turtles/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
